vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
14,66,2.64,Car,307.83,113.33,32.9908,159.91
14,67,2.68,Car,306.83,123.33,37.0636,302.0
14,69,2.76,Car,293.17,177.33,33.7157,270.15
14,99,3.96,Car,288.33,226.17,34.3466,237.67
14,101,4.04,Car,272.33,247.5,30.3215,39.76
14,103,4.12,Car,280.33,201.67,33.7226,88.22
14,113,4.52,Car,296.33,164.5,43.0807,79.07
14,159,6.36,Car,302.0,160.17,40.9075,307.14
14,166,6.64,Car,325.17,202.33,44.1018,268.57
14,170,6.8,Car,332.83,223.83,34.8013,327.74
14,173,6.92,Car,352.33,234.67,39.9694,70.95
14,174,6.96,Car,344.0,169.17,37.5529,97.07
14,302,12.08,Car,330.17,136.33,46.7972,107.21
14,330,13.2,Car,314.33,93.5,39.4876,259.78
14,382,15.28,Car,304.17,113.33,38.7405,156.44
14,383,15.32,Car,302.17,102.17,38.6117,150.0
14,474,18.96,Car,298.17,96.17,38.8473,68.85
14,483,19.32,Car,297.67,85.67,33.1553,223.92
14,484,19.36,Car,299.33,79.5,24.4967,103.07
14,486,19.44,Car,306.17,73.0,26.3523,33.81
14,487,19.48,Car,315.5,63.0,25.768,0.0
14,500,20.0,Car,316.17,57.0,37.4271,113.58
14,536,21.44,Car,324.83,52.0,35.457,17.71
14,560,22.4,Car,326.0,52.83,35.738,335.27
14,562,22.48,Car,336.83,51.67,26.2361,157.52
14,568,22.72,Car,324.17,49.33,36.2357,64.43
14,675,27.0,Car,329.33,52.0,45.264,220.79
14,676,27.04,Car,306.0,55.0,52.5377,230.71
14,681,27.24,Car,295.17,59.83,42.9723,172.78
14,682,27.28,Car,276.17,52.5,37.9464,336.82
14,683,27.32,Car,288.33,45.17,39.0052,61.25
14,684,27.36,Car,294.0,33.67,37.8966,31.88
14,685,27.4,Car,300.17,30.0,33.0024,190.84
14,689,27.56,Car,296.67,30.17,21.8265,338.14
14,716,28.64,Car,294.33,37.17,21.0936,238.49
14,718,28.72,Car,288.0,34.83,29.515,211.54
14,719,28.76,Car,277.33,40.17,36.5536,135.93
14,721,28.84,Car,284.67,62.5,45.8375,279.34
14,755,30.2,Car,302.17,77.33,45.2586,318.6
14,757,30.28,Car,324.33,78.33,38.8181,69.91
14,778,31.12,Car,355.67,49.17,40.1254,39.49
14,792,31.68,Car,383.17,39.0,31.8924,9.98
14,1015,40.6,Car,407.0,40.5,33.5653,285.95
14,1016,40.64,Car,407.67,85.33,34.2849,262.83
14,1120,44.8,Car,407.5,120.33,36.5568,273.37
14,1155,46.2,Car,422.67,145.67,39.586,48.48
14,1336,53.44,Car,446.33,122.83,33.8022,32.42
14,1338,53.52,Car,464.5,95.67,35.5492,64.73
14,1413,56.52,Car,472.25,79.25,34.4158,105.83
15,5,0.2,Car,334.5,372.0,26.8109,0.0
15,60,2.4,Car,348.67,358.0,30.5372,55.32
15,69,2.76,Car,322.33,320.0,43.401,147.12
15,135,5.4,Car,280.0,286.0,36.4559,155.6
15,243,9.72,Car,235.67,263.83,32.7288,93.93
15,541,21.64,Car,233.83,238.33,29.4136,354.31
15,819,32.76,Car,242.33,223.67,34.4167,92.4
15,820,32.8,Car,268.17,225.17,32.1653,342.84
15,923,36.92,Car,303.67,224.33,36.4414,329.66
15,928,37.12,Car,347.83,235.17,30.1424,51.27
15,979,39.16,Car,360.0,199.5,30.2951,29.17
15,999,39.96,Car,346.33,161.33,31.7146,119.89
15,1052,42.08,Car,314.5,140.0,40.3082,154.23
15,1114,44.56,Car,288.5,130.83,41.4293,255.1
15,1254,50.16,Car,276.33,173.5,33.1253,224.58
15,1299,51.96,Car,263.5,203.33,28.6851,256.71
15,1376,55.04,Car,255.25,238.25,31.09,246.54
16,5,0.2,Person,385.75,88.25,2.6248,0.0
16,19,0.76,Person,387.83,86.83,3.4315,87.33
